32610
[sudo] password for yarikov: 2018-07-17 17:28:43 [INFO    ] Host: stapel.red-soft.ru
2018-07-17 17:41:41 [DEBUG   ] Processed 4600 out of 13833 packages
2018-07-17 17:41:44 [DEBUG   ] Processed 4700 out of 13833 packages
2018-07-17 17:41:44 [DEBUG   ] Processed 4800 out of 13833 packages
2018-07-17 17:41:46 [DEBUG   ] Processed 4900 out of 13833 packages
2018-07-17 17:41:47 [DEBUG   ] Processed 5000 out of 13833 packages
2018-07-17 17:41:50 [DEBUG   ] Processed 5100 out of 13833 packages
2018-07-17 17:41:59 [DEBUG   ] Processed 5200 out of 13833 packages
2018-07-17 17:42:02 [DEBUG   ] Processed 5300 out of 13833 packages
2018-07-17 17:42:02 [DEBUG   ] Processed 5400 out of 13833 packages
2018-07-17 17:42:03 [DEBUG   ] Processed 5500 out of 13833 packages
2018-07-17 17:42:04 [DEBUG   ] Processed 5600 out of 13833 packages
2018-07-17 17:42:04 [DEBUG   ] Processed 5700 out of 13833 packages
2018-07-17 17:42:05 [DEBUG   ] Processed 5800 out of 13833 packages
2018-07-17 17:42:05 [DEBUG   ] Processed 5900 out of 13833 packages
2018-07-17 17:42:06 [DEBUG   ] Processed 6000 out of 13833 packages
2018-07-17 17:42:06 [DEBUG   ] Processed 6100 out of 13833 packages
2018-07-17 17:42:07 [DEBUG   ] Processed 6200 out of 13833 packages
2018-07-17 17:42:07 [DEBUG   ] Processed 6300 out of 13833 packages
2018-07-17 17:42:08 [DEBUG   ] Processed 6400 out of 13833 packages
2018-07-17 17:42:08 [DEBUG   ] Processed 6500 out of 13833 packages
2018-07-17 17:42:09 [DEBUG   ] Processed 6600 out of 13833 packages
2018-07-17 17:42:09 [DEBUG   ] Processed 6700 out of 13833 packages
2018-07-17 17:42:09 [DEBUG   ] Processed 6800 out of 13833 packages
2018-07-17 17:42:10 [DEBUG   ] Processed 6900 out of 13833 packages
2018-07-17 17:42:10 [DEBUG   ] Processed 7000 out of 13833 packages
2018-07-17 17:42:11 [DEBUG   ] Processed 7100 out of 13833 packages
2018-07-17 17:42:11 [DEBUG   ] Processed 7200 out of 13833 packages
2018-07-17 17:42:12 [DEBUG   ] Processed 7300 out of 13833 packages
2018-07-17 17:42:13 [DEBUG   ] Processed 7400 out of 13833 packages
2018-07-17 17:42:13 [DEBUG   ] Processed 7500 out of 13833 packages
2018-07-17 17:42:14 [DEBUG   ] Processed 7600 out of 13833 packages
2018-07-17 17:42:14 [DEBUG   ] Processed 7700 out of 13833 packages
2018-07-17 17:42:15 [DEBUG   ] Processed 7800 out of 13833 packages
2018-07-17 17:42:15 [DEBUG   ] Processed 7900 out of 13833 packages
2018-07-17 17:42:16 [DEBUG   ] Processed 8000 out of 13833 packages
2018-07-17 17:42:16 [DEBUG   ] Processed 8100 out of 13833 packages
2018-07-17 17:42:17 [DEBUG   ] Processed 8200 out of 13833 packages
2018-07-17 17:42:18 [DEBUG   ] Processed 8300 out of 13833 packages
2018-07-17 17:42:18 [DEBUG   ] Processed 8400 out of 13833 packages
2018-07-17 17:42:19 [DEBUG   ] Processed 8500 out of 13833 packages
2018-07-17 17:42:19 [DEBUG   ] Processed 8600 out of 13833 packages
2018-07-17 17:42:19 [DEBUG   ] Processed 8700 out of 13833 packages
2018-07-17 17:42:20 [DEBUG   ] Processed 8800 out of 13833 packages
2018-07-17 17:42:21 [DEBUG   ] Processed 8900 out of 13833 packages
2018-07-17 17:42:21 [DEBUG   ] Processed 9000 out of 13833 packages
2018-07-17 17:42:22 [DEBUG   ] Processed 9100 out of 13833 packages
